CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-6-26,34,30,26,26,24,24,94,81,56,1009,1008,1006,10,9,5,14,3,,0.00,5,Rain-Thunderstorm,2<br />
2001-6-27,36,31,26,27,25,24,94,76,56,1010,1008,1006,10,10,9,21,5,,0.00,3,,310<br />
2001-6-28,34,30,27,27,26,24,89,76,63,1010,1008,1007,10,10,9,13,5,,0.00,3,,54<br />
2001-6-29,36,31,27,26,24,23,84,70,50,1009,1008,1006,10,10,9,16,5,,0.00,2,,167<br />
2001-6-30,35,31,27,26,24,23,84,71,59,1008,1007,1005,10,10,10,14,5,,0.00,1,,306<br />
2001-7-1,34,30,27,26,25,24,89,75,63,1010,1008,1006,10,10,7,16,5,,0.00,3,,67<br />
2001-7-2,36,32,28,25,22,18,84,61,34,1009,1008,1006,10,10,10,29,13,,0.00,2,,102<br />
2001-7-3,35,31,27,26,24,21,79,67,52,1008,1006,1004,10,10,10,37,16,52,0.00,3,,88<br />
2001-7-4,31,28,25,28,27,25,100,92,79,1004,999,995,10,9,1,53,24,76,0.00,6,Rain-Thunderstorm,80<br />
2001-7-5,32,29,26,26,25,22,100,76,62,998,994,992,10,9,7,48,34,74,0.00,6,Rain,100<br />
2001-7-6,32,30,28,27,26,23,89,78,70,1007,1002,997,10,10,7,19,6,,0.00,5,Rain,67<br />
2001-7-7,34,30,26,27,26,26,100,84,63,1010,1008,1006,10,9,2,21,5,,0.00,6,Rain-Thunderstorm,195<br />
2001-7-8,33,30,27,27,26,25,94,83,63,1010,1009,1008,10,10,10,13,3,,0.00,6,Rain,281<br />
2001-7-9,34,30,27,27,26,24,94,80,66,1009,1007,1006,10,10,6,14,5,,0.00,3,,360<br />
2001-7-10,33,30,27,27,26,24,94,78,59,1007,1005,1003,10,9,6,16,5,,0.00,4,,84<br />
2001-7-11,33,30,27,27,26,24,89,79,66,1005,1002,999,10,10,7,24,8,,0.00,4,,78<br />
2001-7-12,33,30,27,26,25,23,89,77,66,1003,1000,998,10,10,8,21,10,,0.00,5,Rain,27<br />
2001-7-13,32,29,26,26,26,24,100,85,66,1007,1004,1002,10,9,2,19,6,,0.00,4,Rain-Thunderstorm,99<br />
